REPORT_DAT,SHIFT,OFFENSE,METHOD,BLOCK,DISTRICT,PSA,WARD,ANC,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,START_DATE,END_DATE
7/3/18 3:05,MIDNIGHT,THEFT F/AUTO,OTHERS,1200 - 1299 BLOCK OF 31ST STREET NW,2,206,2,2E,Cluster 4,000100 4,100,Precinct 5,18108249,394691,137573,7/2/18 20:45,7/2/18 23:06
7/2/18 23:50,MIDNIGHT,THEFT F/AUTO,OTHERS,1200 - 1299 BLOCK OF 31ST STREET NW,2,206,2,2E,Cluster 4,000100 4,100,Precinct 5,18108253,394691,137573,7/2/18 20:45,7/2/18 22:40
7/2/18 23:25,MIDNIGHT,MOTOR VEHICLE THEFT,OTHERS,4908  - 4999 BLOCK OF ILLINOIS AVENUE NW,4,407,4,4D,Cluster 18,002201 3,2201,Precinct 55,18108259,397925,142523,7/2/18 20:59,7/2/18 23:45
7/3/18 3:28,MIDNIGHT,THEFT F/AUTO,OTHERS,1000 - 1025 BLOCK OF WISCONSIN AVENUE NW,2,206,2,2E,Cluster 4,000202 4,202,Precinct 6,18108260,394555,137240,7/2/18 20:30,7/2/18 23:00
7/3/18 4:32,MIDNIGHT,THEFT F/AUTO,OTHERS,1100 - 1199 BLOCK OF 24TH STREET NW,2,207,2,2A,Cluster 5,005500 2,5500,Precinct 4,18108270,395540,137406,7/2/18 14:30,7/2/18 23:26
7/3/18 0:41,MIDNIGHT,ROBBERY,OTHERS,1400  - 1499 BLOCK OF FORT STEVENS DRIVE NW,4,402,4,4A,Cluster 17,001803 2,1803,Precinct 60,18108276,397007,144031,7/2/18 23:02,
7/3/18 1:36,MIDNIGHT,ROBBERY,OTHERS,3900  - 3999 BLOCK OF 14TH STREET NW,4,404,4,4C,Cluster 18,002502 4,2502,Precinct 47,18108288,397162,141258,7/2/18 23:34,7/3/18 1:37
7/3/18 2:58,MIDNIGHT,SEX ABUSE,OTHERS,1200 - 1249 BLOCK OF 22ND STREET NW,2,208,2,2A,Cluster 5,005500 3,5500,Precinct 4,18108316,395766,137555,7/2/18 22:57,7/3/18 2:20
7/3/18 2:24,MIDNIGHT,ROBBERY,OTHERS,1200 - 1299 BLOCK OF 49TH STREET NE,6,602,7,7C,Cluster 31,007806 2,7806,Precinct 93,18108323,405927,137644,7/2/18 23:45,7/3/18 1:45
7/3/18 4:04,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,GUN,2300 - 2599 BLOCK OF SHERMAN AVENUE NW,3,304,1,1B,Cluster 2,003500 2,3500,Precinct 37,18108341,397802,139380,7/3/18 2:05,
7/3/18 3:49,MIDNIGHT,THEFT/OTHER,OTHERS,2500 - 2880 BLOCK OF PORTER STREET NW,2,203,3,3C,Cluster 15,001302 2,1302,Precinct 34,18108345,395175,140861,7/3/18 2:35,7/3/18 2:50
7/10/18 16:15,EVENING,THEFT F/AUTO,OTHERS,1800 - 1899 BLOCK OF RIGGS PLACE NW,2,208,2,2B,Cluster 6,004202 1,4202,Precinct 14,18113021,396310,138389,7/10/18 13:25,
7/10/18 17:26,EVENING,THEFT/OTHER,OTHERS,900 - 999 BLOCK OF RHODE ISLAND AVENUE NE,5,505,5,5C,Cluster 22,009102 2,9102,Precinct 72,18113024,400594,139371,7/10/18 15:48,7/10/18 16:30
7/10/18 16:32,EVENING,MOTOR VEHICLE THEFT,OTHERS,3429 - 3464 BLOCK OF 14TH STREET NW,4,409,1,1A,Cluster 2,002801 1,2801,Precinct 41,18113025,397161,140549,7/9/18 22:00,7/10/18 12:00
7/10/18 16:29,EVENING,THEFT F/AUTO,OTHERS,5300 - 5399 BLOCK OF WISCONSIN AVENUE NW,2,202,3,3E,Cluster 11,001001 1,1001,Precinct 31,18113030,392607,143559,7/10/18 15:00,7/10/18 16:00
7/10/18 16:42,EVENING,THEFT F/AUTO,OTHERS,600 - 699 BLOCK OF E STREET NW,1,102,2,2C,Cluster 8,005800 2,5800,Precinct 143,18113038,398185,136475,7/10/18 15:35,7/10/18 16:10
7/10/18 23:53,MIDNIGHT,THEFT F/AUTO,OTHERS,2300 - 2499 BLOCK OF 11TH STREET NW,3,304,1,1B,Cluster 2,003600 3,3600,Precinct 23,18113042,397655,139302,7/10/18 6:30,7/10/18 15:15
7/10/18 16:51,EVENING,MOTOR VEHICLE THEFT,OTHERS,8129  - 8148 BLOCK OF EASTERN AVENUE NW,4,401,4,4A,Cluster 16,001600 1,1600,Precinct 62,18113046,397177,146810,7/4/18 22:00,7/10/18 15:20
7/11/18 12:20,DAY,MOTOR VEHICLE THEFT,OTHERS,500 - 599 BLOCK OF TENNESSEE AVENUE NE,1,108,6,6A,Cluster 25,008001 2,8001,Precinct 81,18113539,401346,136541,7/10/18 22:00,7/11/18 8:00
7/11/18 14:09,DAY,THEFT/OTHER,OTHERS,600 - 669 BLOCK OF PENNSYLVANIA AVENUE SE,1,107,6,6B,Cluster 26,006500 1,6500,Precinct 89,18113593,400232,135255,7/11/18 13:00,7/11/18 13:15
7/11/18 14:35,DAY,MOTOR VEHICLE THEFT,OTHERS,1 - 99 BLOCK OF PATTERSON STREET NE,5,501,6,6C,Cluster 25,010600 2,10600,Precinct 83,18113609,399358,137621,7/10/18 23:30,7/11/18 12:00
7/11/18 15:11,EVENING,THEFT F/AUTO,OTHERS,3400 - 3499 BLOCK OF YUMA STREET NW,2,203,3,3F,Cluster 12,001200 4,1200,Precinct 33,18113620,394256,142040,7/11/18 12:35,7/11/18 13:30
7/11/18 18:31,EVENING,THEFT F/AUTO,OTHERS,1200 - 1227 BLOCK OF 33RD STREET NW,2,206,2,2E,Cluster 4,000202 3,202,Precinct 6,18113636,394269,137521,7/11/18 13:55,7/11/18 13:57
7/11/18 17:12,EVENING,BURGLARY,OTHERS,5100 - 5298 BLOCK OF FITCH STREET SE,6,604,7,7E,Cluster 33,007707 1,7707,Precinct 105,18113647,406235,134777,7/11/18 14:45,
7/11/18 16:08,EVENING,THEFT/OTHER,OTHERS,3600 - 3699 BLOCK OF O STREET NW,2,206,2,2E,Cluster 4,000202 4,202,Precinct 6,18113649,393843,137761,7/10/18 14:00,7/10/18 14:03
7/11/18 16:15,EVENING,MOTOR VEHICLE THEFT,OTHERS,3100 - 3199 BLOCK OF 17TH STREET NE,5,504,5,5B,Cluster 22,009301 3,9301,Precinct 70,18113651,401655,140189,7/11/18 15:22,7/11/18 16:15
7/11/18 20:08,EVENING,THEFT/OTHER,OTHERS,1500 - 1599 BLOCK OF NEW YORK AVENUE NE,5,506,5,5D,Cluster 23,008803 1,8803,Precinct 76,18113659,401498,138734,7/11/18 14:44,7/11/18 16:48
7/11/18 17:13,EVENING,THEFT F/AUTO,OTHERS,3300  - 3399 BLOCK OF QUESADA STREET NW,2,201,4,3G,Cluster 10,001500 2,1500,Precinct 51,18113662,394105,144526,7/11/18 12:30,7/11/18 15:35
7/12/18 0:17,MIDNIGHT,THEFT F/AUTO,OTHERS,1721 - 1799 BLOCK OF 14TH STREET NW,3,301,2,2F,Cluster 7,005201 4,5201,Precinct 16,18113685,397228,138428,7/11/18 16:10,7/11/18 16:20
7/11/18 20:32,EVENING,THEFT F/AUTO,OTHERS,1500 - 1599 BLOCK OF QUEEN STREET NE,5,506,5,5D,Cluster 23,008804 2,8804,Precinct 77,18113689,401581,137459,7/11/18 15:26,7/11/18 17:15
7/12/18 6:42,MIDNIGHT,THEFT F/AUTO,OTHERS,1300 - 1399 BLOCK OF RIGGS STREET NW,3,307,2,2F,Cluster 7,005001 2,5001,Precinct 16,18113697,397329,138387,7/11/18 16:00,7/11/18 17:00
7/11/18 18:29,EVENING,THEFT/OTHER,OTHERS,5300 - 5399 BLOCK OF WISCONSIN AVENUE NW,2,202,3,3E,Cluster 11,001001 1,1001,Precinct 31,18113732,392607,143559,7/11/18 16:30,7/11/18 16:47
7/17/18 22:17,EVENING,THEFT F/AUTO,OTHERS,1800 - 1899 BLOCK OF VERMONT AVENUE NW,3,305,1,1B,Cluster 3,004400 2,4400,Precinct 137,18117757,397701,138567,7/17/18 20:00,7/17/18 20:10
7/17/18 21:22,EVENING,THEFT/OTHER,OTHERS,1100 - 1199 BLOCK OF F STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,18117759,397609,136611,7/17/18 20:58,7/17/18 21:00
7/17/18 22:09,EVENING,MOTOR VEHICLE THEFT,OTHERS,1516 - 1699 BLOCK OF BENNING ROAD NE,5,507,6,6A,Cluster 23,007901 4,7901,Precinct 81,18117768,401701,136862,7/17/18 19:36,7/17/18 19:40
7/17/18 22:10,EVENING,THEFT F/AUTO,OTHERS,701 709  BLOCK OF EDGEWOOD STREET NE,5,502,5,5E,Cluster 21,009204 2,9204,Precinct 74,18117779,400360,139621,7/17/18 21:11,7/17/18 22:00
7/17/18 23:33,MIDNIGHT,THEFT F/AUTO,OTHERS,1200 - 1299 BLOCK OF OATES STREET NE,5,506,5,5D,Cluster 23,008802 3,8802,Precinct 77,18117781,401137,137447,7/17/18 21:29,7/17/18 22:16
7/17/18 23:05,MIDNIGHT,THEFT F/AUTO,OTHERS,1000 - 1199 BLOCK OF 30TH STREET NW,2,206,2,2E,Cluster 4,000100 4,100,Precinct 5,18117786,394870,137339,7/17/18 19:30,7/17/18 22:00
7/18/18 2:03,MIDNIGHT,THEFT F/AUTO,OTHERS,1300 - 1399 BLOCK OF V STREET NW,3,305,1,1B,Cluster 3,004400 1,4400,Precinct 22,18117788,397330,138916,7/17/18 21:54,7/17/18 22:45
7/17/18 22:46,EVENING,THEFT/OTHER,OTHERS,700 - 799 BLOCK OF 7TH STREET NW,1,102,2,2C,Cluster 8,005800 1,5800,Precinct 129,18117800,398098,136808,7/17/18 20:00,7/17/18 20:34
7/18/18 0:15,MIDNIGHT,THEFT/OTHER,OTHERS,1000 - 1299 BLOCK OF SOUTH CAPITOL STREET,1,105,6,6D,Cluster 9,007200 2,7200,Precinct 128,18117835,399210.55,134299.54,7/18/18 0:05,
7/18/18 2:13,MIDNIGHT,ROBBERY,OTHERS,1 - 99 BLOCK OF V STREET NW,5,501,5,5E,Cluster 21,003301 2,3301,Precinct 135,18117865,399075,138915,7/18/18 0:52,
7/18/18 3:54,MIDNIGHT,THEFT/OTHER,OTHERS,200 - 299 BLOCK OF 63RD STREET NE,6,608,7,7C,Cluster 31,007808 2,7808,Precinct 96,18117869,407727,136068,7/18/18 0:59,
7/18/18 3:27,MIDNIGHT,THEFT/OTHER,OTHERS,3900 - 3999 BLOCK OF MARTIN LUTHER KING JR AVENUE SW,7,708,8,8D,Cluster 39,009807 1,9807,Precinct 124,18117891,399218,129419,7/18/18 1:55,7/18/18 2:21
7/18/18 4:05,MIDNIGHT,ROBBERY,OTHERS,4600 - 4615 BLOCK OF NANNIE HELEN BURROUGHS AVENUE NE,6,602,7,7C,Cluster 30,007804 1,7804,Precinct 98,18117905,405595,136826,7/18/18 2:35,7/18/18 2:37
6/29/18 8:56,DAY,THEFT F/AUTO,OTHERS,121  - 181 BLOCK OF MADISON STREET NW,4,406,4,4B,Cluster 17,002102 1,2102,Precinct 64,18106011,398871,143425,6/29/18 6:08,6/29/18 7:29
6/29/18 7:20,DAY,BURGLARY,OTHERS,700 - 799 BLOCK OF I STREET NW,1,102,2,2C,Cluster 8,005800 1,5800,Precinct 129,18106012,398054,137002,6/29/18 2:55,6/29/18 2:58
6/29/18 7:14,DAY,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF CORBIN PLACE NE,1,108,6,6A,Cluster 25,008001 3,8001,Precinct 81,18106013,401088,136259,6/29/18 1:00,6/29/18 4:45
6/29/18 8:54,DAY,THEFT F/AUTO,OTHERS,100 - 299 BLOCK OF BATES STREET NW,5,501,5,5E,Cluster 21,004600 2,4600,Precinct 19,18106014,398814,138057,6/28/18 17:30,6/29/18 6:00
6/29/18 7:40,DAY,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF CORBIN PLACE NE,1,108,6,6A,Cluster 25,008001 3,8001,Precinct 81,18106016,401088,136259,6/29/18 3:57,6/29/18 4:00
6/29/18 8:18,DAY,BURGLARY,OTHERS,4800 - 4899 BLOCK OF NANNIE HELEN BURROUGHS AVENUE NE,6,602,7,7C,Cluster 31,007804 1,7804,Precinct 98,18106028,405836,136773,6/29/18 6:19,
6/29/18 8:01,DAY,THEFT/OTHER,OTHERS,1912 1999  BLOCK OF NAYLOR ROAD SE,6,607,8,8A,Cluster 34,007601 3,7601,Precinct 140,18106029,402026,133858,6/29/18 6:33,
6/29/18 8:04,DAY,THEFT F/AUTO,OTHERS,2700 - 2899 BLOCK OF TERRACE ROAD SE,6,606,7,7B,Cluster 35,007603 4,7603,Precinct 113,18106031,403132,131966,6/29/18 7:38,
6/29/18 9:00,DAY,THEFT/OTHER,OTHERS,1 - 99 BLOCK OF O STREET NW,5,501,5,5E,Cluster 21,004600 1,4600,Precinct 19,18106040,399074,137856,6/29/18 8:32,
6/29/18 9:39,DAY,BURGLARY,OTHERS,1201 - 1249 BLOCK OF PENNSYLVANIA AVENUE SE,1,107,6,6B,Cluster 26,007100 2,7100,Precinct 91,18106048,400930,134891,6/28/18 21:00,6/29/18 7:45
6/29/18 10:13,DAY,THEFT/OTHER,OTHERS,1100 - 1199 BLOCK OF 15TH STREET NW,2,207,2,2B,Cluster 6,010100 2,10100,Precinct 17,18106072,397001,137426,6/29/18 9:53,
6/29/18 10:31,DAY,THEFT/OTHER,OTHERS,1600 - 1660 BLOCK OF 32ND STREET NW,2,206,2,2E,Cluster 4,000100 1,100,Precinct 5,18106077,394456,138159,6/29/18 9:55,
6/29/18 10:46,DAY,THEFT F/AUTO,OTHERS,1504 - 1599 BLOCK OF MERIDIAN PLACE NW,4,409,1,1A,Cluster 2,002801 1,2801,Precinct 41,18106082,396874,140710,6/28/18 22:00,6/29/18 9:30
6/29/18 11:50,DAY,THEFT/OTHER,OTHERS,4510 - 4549 BLOCK OF BENNING ROAD SE,6,604,7,7E,Cluster 33,009906 1,9906,Precinct 103,18106099,405443,135696,6/29/18 10:49,6/29/18 11:50
6/29/18 12:14,DAY,THEFT F/AUTO,OTHERS,1500 - 1599 BLOCK OF T STREET NW,3,301,2,2B,Cluster 6,004300 2,4300,Precinct 141,18106103,396919,138634,6/28/18 19:45,6/28/18 21:00
6/29/18 13:54,DAY,THEFT/OTHER,OTHERS,900 - 1020 BLOCK OF MOUNT OLIVET ROAD NE,5,506,5,5D,Cluster 23,008803 1,8803,Precinct 76,18106107,400965,138212,6/21/18 15:47,6/29/18 11:54
6/29/18 12:10,DAY,THEFT F/AUTO,OTHERS,6200  - 6299 BLOCK OF 12TH STREET NW,4,402,4,4A,Cluster 17,001804 2,1804,Precinct 60,18106117,397526,144181,6/28/18 21:00,6/29/18 6:00
6/29/18 13:12,DAY,ASSAULT W/DANGEROUS WEAPON,GUN,5000 - 5099 BLOCK OF ASTOR PLACE SE,6,604,7,7E,Cluster 33,009904 2,9904,Precinct 104,18106119,406152,135485,6/29/18 11:20,6/29/18 11:21
6/29/18 12:55,DAY,THEFT F/AUTO,OTHERS,1000 - 1099 BLOCK OF NORTH CAPITOL STREET,1,103,6,6E,Cluster 8,004701 1,4701,Precinct 1,18106124,399213,137251,6/29/18 11:57,
6/29/18 14:18,DAY,BURGLARY,OTHERS,2000 - 2099 BLOCK OF HECHT AVENUE NE,5,506,5,5D,Cluster 23,008803 1,8803,Precinct 76,18106125,401424,138629,6/29/18 1:19,6/29/18 2:30
6/29/18 13:26,DAY,THEFT F/AUTO,OTHERS,900 - 979 BLOCK OF 17TH STREET NE,5,507,5,5D,Cluster 23,008904 2,8904,Precinct 79,18106159,401822,137058,6/29/18 13:04,6/29/18 13:27
6/29/18 13:42,DAY,THEFT/OTHER,OTHERS,1400 1498  BLOCK OF GOOD HOPE ROAD SE,6,607,8,8A,Cluster 28,007503 1,7503,Precinct 114,18106163,401323,133209,6/29/18 13:09,
6/29/18 14:21,DAY,ROBBERY,OTHERS,3012 - 3025 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,7,705,8,8C,Cluster 39,010400 1,10400,Precinct 123,18106166,400187,130742,6/29/18 12:17,6/29/18 12:25
6/29/18 13:47,DAY,THEFT F/AUTO,OTHERS,600 - 899 BLOCK OF 26TH STREET NE,5,507,5,5D,Cluster 23,008904 1,8904,Precinct 79,18106176,402582,136976,6/29/18 13:32,
6/29/18 14:45,DAY,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF 14TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,18106188,397226,136542,6/29/18 13:39,
6/29/18 14:17,DAY,THEFT/OTHER,OTHERS,1600 - 1699 BLOCK OF GALES STREET NE,5,507,6,6A,Cluster 25,007901 4,7901,Precinct 81,18106189,401668,136716,6/29/18 13:50,6/29/18 14:17
6/29/18 14:24,DAY,THEFT/OTHER,OTHERS,1500 - 1599 BLOCK OF BENNING ROAD NE,5,507,6,6A,Cluster 23,007901 4,7901,Precinct 81,18106192,401521,136902,6/29/18 13:39,6/29/18 14:27
6/29/18 16:31,EVENING,ASSAULT W/DANGEROUS WEAPON,OTHERS,1900 BLOCK OF D STREET SE,1,108,7,7F,Cluster 26,006804 1,6804,Precinct 80,18106202,402061,135138,6/29/18 13:45,6/29/18 14:15
6/29/18 0:20,MIDNIGHT,THEFT/OTHER,OTHERS,700 - 799 BLOCK OF H STREET NE,1,104,6,6C,Cluster 25,008302 1,8302,Precinct 83,18105808,400384,136927,6/28/18 19:58,6/28/18 19:59
6/29/18 0:29,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,KNIFE,300  - 599 BLOCK OF PEABODY STREET NE,4,406,4,4B,Cluster 19,009505 1,9505,Precinct 65,18105884,399918,143864,6/28/18 22:26,6/29/18 0:01
6/29/18 0:10,MIDNIGHT,ROBBERY,OTHERS,3300 - 3340 BLOCK OF 18TH STREET NW,4,408,1,1D,Cluster 2,002701 2,2701,Precinct 40,18105907,396419,140550,6/28/18 21:30,
6/29/18 0:02,MIDNIGHT,THEFT/OTHER,OTHERS,2000 - 2099 BLOCK OF HECHT AVENUE NE,5,506,5,5D,Cluster 23,008803 1,8803,Precinct 76,18105913,401424,138629,6/28/18 21:33,6/28/18 21:35
6/29/18 2:23,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,KNIFE,200 - 299 BLOCK OF 50TH STREET NE,6,602,7,7C,Cluster 31,007804 2,7804,Precinct 97,18105928,406071,136119,6/28/18 23:45,6/29/18 2:02
6/29/18 1:26,MIDNIGHT,THEFT/OTHER,OTHERS,4530 - 4599 BLOCK OF WISCONSIN AVENUE NW,2,202,3,3E,Cluster 11,001001 2,1001,Precinct 31,18105942,393039,142375,6/29/18 0:19,6/29/18 0:29
6/29/18 3:24,MIDNIGHT,THEFT F/AUTO,OTHERS,1700 - 1733 BLOCK OF COLUMBIA ROAD NW,3,303,1,1C,Cluster 1,003900 3,3900,Precinct 35,18105972,396561,139643,6/29/18 2:44,6/29/18 3:25
6/29/18 5:11,MIDNIGHT,THEFT F/AUTO,OTHERS,700 - 799 BLOCK OF FAIRMONT STREET NW,3,304,1,1B,Cluster 2,003500 1,3500,Precinct 37,18105984,397904,139683,6/29/18 2:57,6/29/18 4:30
6/29/18 4:35,MIDNIGHT,MOTOR VEHICLE THEFT,OTHERS,2800 - 3056 BLOCK OF MONROE STREET NE,5,503,5,5C,Cluster 24,011100 2,11100,Precinct 71,18105995,402894,140554,6/29/18 4:06,
7/3/18 10:14,DAY,THEFT/OTHER,OTHERS,934 - 1099 BLOCK OF EASTERN AVENUE NE,6,608,7,7C,Cluster 31,007807 2,7807,Precinct 95,18107840,406683,137294,7/2/18 11:16,7/2/18 11:57
7/2/18 12:56,DAY,THEFT F/AUTO,OTHERS,608 - 632 BLOCK OF FLORIDA AVENUE NW,3,306,1,1B,Cluster 3,004801 1,4801,Precinct 137,18107842,398184,138665,6/29/18 20:30,6/29/18 22:58
7/2/18 11:44,DAY,THEFT F/AUTO,OTHERS,600 - 699 BLOCK OF 10TH STREET NE,1,104,6,6A,Cluster 25,008402 2,8402,Precinct 82,18107843,400637,136696,7/1/18 21:00,7/2/18 11:45
7/10/18 17:16,EVENING,THEFT F/AUTO,OTHERS,2600 - 2699 BLOCK OF WOODLEY PLACE NW,2,204,3,3C,Cluster 15,000501 1,501,Precinct 136,18113056,395594,139617,7/10/18 11:30,7/10/18 17:16
7/10/18 17:44,EVENING,THEFT F/AUTO,OTHERS,900 - 999 BLOCK OF Q STREET NW,3,307,6,6E,Cluster 7,004901 2,4901,Precinct 18,18113070,397870,138140,7/10/18 16:59,
7/10/18 19:57,EVENING,THEFT/OTHER,OTHERS,100  - 199 BLOCK OF CARROLL STREET NW,4,401,4,4B,Cluster 17,001702 2,1702,Precinct 63,18113079,398758,145213,7/10/18 16:43,7/10/18 18:07
7/10/18 19:42,EVENING,ROBBERY,KNIFE,150 - 299 BLOCK OF Q STREET NE,5,502,5,5E,Cluster 21,008702 2,8702,Precinct 75,18113084,399690,138139,7/10/18 16:38,
7/10/18 20:01,EVENING,THEFT/OTHER,OTHERS,1601 1698  BLOCK OF GOOD HOPE ROAD SE,7,701,8,8A,Cluster 34,007504 1,7504,Precinct 114,18113086,401618,133141,7/10/18 17:30,7/10/18 17:31
7/10/18 23:01,MIDNIGHT,THEFT F/AUTO,OTHERS,1000 - 1099 BLOCK OF 4TH STREET NW,1,103,6,6E,Cluster 8,004701 2,4701,Precinct 1,18113100,398597,137252,7/10/18 7:00,7/10/18 16:00
7/10/18 19:38,EVENING,THEFT/OTHER,OTHERS,200 - 299 BLOCK OF CONSTITUTION AVENUE NE,1,107,6,6C,Cluster 26,008200 2,8200,Precinct 130,18113115,399759,136018,7/10/18 16:30,7/10/18 17:30
7/11/18 0:09,MIDNIGHT,THEFT/OTHER,OTHERS,2400 - 2599 BLOCK OF GEORGIA AVENUE NW,3,304,1,1B,Cluster 2,003500 2,3500,Precinct 37,18113154,398058,139487,7/10/18 17:00,7/10/18 17:45
7/10/18 20:53,EVENING,BURGLARY,OTHERS,1400 - 1499 BLOCK OF N STREET NW,2,208,2,2F,Cluster 7,005201 1,5201,Precinct 17,18113177,397115,137709,7/7/18 4:05,7/7/18 4:06
7/10/18 20:41,EVENING,THEFT F/AUTO,OTHERS,1300 - 1399 BLOCK OF 8TH STREET NW,3,308,6,6E,Cluster 7,004902 1,4902,Precinct 18,18113206,398010,137782,7/10/18 18:30,7/10/18 19:51
7/10/18 20:21,EVENING,THEFT/OTHER,OTHERS,1851 - 2008 BLOCK OF WISCONSIN AVENUE NW,2,206,2,2E,Cluster 4,000202 1,202,Precinct 6,18113211,394088,138708,7/10/18 19:40,7/10/18 19:50
7/10/18 22:46,EVENING,BURGLARY,OTHERS,1600 - 1699 BLOCK OF 11TH STREET NW,3,307,2,2F,Cluster 7,005001 1,5001,Precinct 16,18113216,397655,138222,7/10/18 19:19,
7/11/18 7:23,DAY,SEX ABUSE,OTHERS,2400 - 2599 BLOCK OF ELVANS ROAD SE,7,703,8,8B,Cluster 37,007406 2,7406,Precinct 118,18113231,401004,131818,7/10/18 17:45,7/11/18 0:05
7/10/18 21:31,EVENING,ROBBERY,OTHERS,1776 - 1799 BLOCK OF FLORIDA AVENUE NW,3,301,2,2B,Cluster 6,004201 2,4201,Precinct 141,18113236,396406,138780,7/10/18 20:22,
7/10/18 21:59,EVENING,THEFT/OTHER,OTHERS,3600 - 3699 BLOCK OF IDAHO AVENUE NW,2,203,3,3C,Cluster 15,000600 4,600,Precinct 27,18113276,393777,141097,7/10/18 18:00,7/10/18 22:04
7/10/18 23:04,MIDNIGHT,THEFT/OTHER,OTHERS,1226 - 1299 BLOCK OF 1ST STREET SW,1,105,6,6D,Cluster 9,006400 1,6400,Precinct 127,18113284,398943,134157,7/10/18 14:00,7/10/18 19:00
7/11/18 0:16,MIDNIGHT,ROBBERY,GUN,2300 - 2399 BLOCK OF NAYLOR ROAD SE,6,607,8,8A,Cluster 34,007601 2,7601,Precinct 133,18113328,402372,133555,7/10/18 22:38,
7/11/18 1:16,MIDNIGHT,THEFT F/AUTO,OTHERS,1800 - 1899 BLOCK OF 8TH STREET NW,3,305,1,1B,Cluster 3,004400 2,4400,Precinct 137,18113340,398010,138551,7/10/18 18:27,7/10/18 23:35
7/11/18 2:25,MIDNIGHT,SEX ABUSE,OTHERS,1612 - 1699 BLOCK OF 18TH STREET NW,2,208,2,2B,Cluster 6,004202 1,4202,Precinct 14,18113347,396386,138264,7/10/18 23:41,7/11/18 1:56
7/17/18 15:55,EVENING,THEFT/OTHER,OTHERS,1200 - 1229 BLOCK OF 1ST STREET NE,5,501,6,6C,Cluster 25,010600 2,10600,Precinct 83,18117506,399489,137576,7/17/18 14:00,7/17/18 14:05
7/24/18 7:25,DAY,THEFT/OTHER,OTHERS,1200 - 1399 BLOCK OF MARYLAND AVENUE SW,1,105,6,6D,Cluster 9,010200 2,10200,Precinct 142,18117515,397474,135152,7/17/18 13:17,7/17/18 13:19
