Type,Team,Position,Name,DOB
Age,Tunisia,MF,Ghailene Chaalali,2/28/94
Age,Tunisia,MF,Mohamed Amine Ben Amor,1/1/92
Age,Tunisia,MF,Na•m Sliti,7/27/92
Age,Tunisia,MF,Sa”f-Eddine Khaoui,4/27/95
Age,Colombia,DF,Cristi‡n Zapata,9/30/86
Age,Colombia,DF,D‡vinson S‡nchez,5/12/96
Age,Colombia,DF,Frank Fabra,2/22/91
Age,Colombia,DF,Johan Mojica,8/21/91
Age,Colombia,DF,îscar Murillo,4/18/88
Age,Colombia,DF,Santiago Arias,1/13/92
Age,Colombia,DF,Yerry Mina,9/23/94
Age,Colombia,FW,Carlos Bacca,9/8/86
Age,Colombia,FW,Luis Muriel,4/16/91
Age,Colombia,FW,Miguel Borja,1/26/93
Age,Colombia,FW,Radamel Falcao (captain),2/10/86
Age,Colombia,GK,Camilo Vargas,3/9/89
Age,Colombia,GK,David Ospina,8/31/88
Age,Colombia,GK,Jos_ Fernando Cuadrado,6/1/85
Age,Colombia,MF,Abel Aguilar,1/6/85
Age,Colombia,MF,Carlos S‡nchez,2/6/86
Age,Colombia,MF,James Rodr’guez,7/12/91
Age,Colombia,MF,Jefferson Lerma,10/25/94
Age,Colombia,MF,Jos_ Izquierdo,7/7/92
Age,Colombia,MF,Juan Cuadrado,5/26/88
Age,Colombia,MF,Juan Fernando Quintero,1/18/93
Age,Colombia,MF,Mateus Uribe,3/21/91
Age,Colombia,MF,W’lmar Barrios,10/16/93
Age,Japan,DF,Gen Shoji,12/11/92
Age,Japan,DF,G_toku Sakai,3/14/91
Age,Japan,DF,Hiroki Sakai,4/12/90
Age,Japan,DF,Maya Yoshida,8/24/88
Age,Japan,DF,Naomichi Ueda,10/24/94
Age,Japan,DF,Tomoaki Makino,5/11/87
Age,Japan,DF,Wataru Endo,2/9/93
Age,Japan,DF,Yuto Nagatomo,9/12/86
Age,Japan,FW,Shinji Okazaki,4/16/86
Age,Japan,FW,Yoshinori Mut_,7/15/92
Age,Japan,FW,Yuya Osako,5/18/90
Age,Japan,GK,Eiji Kawashima,3/20/83
Age,Japan,GK,Kosuke Nakamura,2/27/95
Age,Japan,GK,Masaaki Higashiguchi,5/12/86
Age,Japan,MF,Gaku Shibasaki,5/28/92
Age,Japan,MF,Genki Haraguchi,5/9/91
Age,Japan,MF,Hotaru Yamaguchi,10/6/90
Age,Japan,MF,Keisuke Honda,6/13/86
Age,Japan,MF,Makoto Hasebe (captain),1/18/84
Age,Japan,MF,Ryota Oshima,1/23/93
Age,Japan,MF,Shinji Kagawa,3/17/89
Age,Japan,MF,Takashi Inui,6/2/88
Age,Japan,MF,Takashi Usami,5/6/92
Age,Poland,DF,Artur J_drzejczyk,11/4/87
Age,Poland,DF,Bartosz Bereszy_ski,7/12/92
Age,Poland,DF,Jan Bednarek,4/12/96
Age,Poland,DF,Kamil Glik,2/3/88
Age,Poland,DF,_ukasz Piszczek,6/3/85
Age,Poland,DF,Micha_ Pazdan,9/21/87
Age,Poland,DF,Thiago Cionek,4/21/86
Age,Poland,FW,Arkadiusz Milik,2/28/94
Age,Poland,FW,Dawid Kownacki,3/14/97
Age,Poland,FW,_ukasz Teodorczyk,6/3/91
Age,Poland,FW,Robert Lewandowski (captain),8/21/88
Age,Poland,GK,Bartosz Bia_kowski,10/1/94
Age,Poland,GK,_ukasz Fabia_ski,7/29/93
Age,Poland,GK,Wojciech Szcz_sny,1/1/84
Age,Poland,MF,Grzegorz Krychowiak,1/29/90
Age,Poland,MF,Jacek G—ralski,9/21/92
Age,Poland,MF,Jakub B_aszczykowski,12/14/85
Age,Poland,MF,Kamil Grosicki,6/8/88
Age,Poland,MF,Karol Linetty,2/2/95
Age,Poland,MF,Maciej Rybus,8/19/89
Age,Poland,MF,Piotr Zieli_ski,5/20/94
Age,Poland,MF,Rafa_ Kurzawa,1/29/93
Age,Poland,MF,S_awomir Peszko,2/19/85
Age,Senegal,DF,Kalidou Koulibaly,6/20/91
Age,Senegal,DF,Kara Mbodji,11/11/89
Age,Senegal,DF,Lamine Gassama,10/20/89
Age,Senegal,DF,Moussa Wagu_,10/4/98
Age,Senegal,DF,Salif San_,8/25/90
Age,Senegal,DF,Saliou Ciss,9/15/89
Age,Senegal,DF,Youssouf Sabaly,3/5/93
Age,Senegal,FW,Diafra Sakho,12/24/89
Age,Senegal,FW,Isma•la Sarr,2/25/98
Age,Senegal,FW,Keita Bald_,3/8/95
Age,Senegal,FW,Mame Biram Diouf,12/16/87
Age,Senegal,FW,M'Baye Niang,12/19/94
Age,Senegal,FW,Moussa Konat_,4/3/93
Age,Senegal,FW,Moussa Sow,1/19/86
Age,Senegal,FW,Sadio Man_,4/10/92
Age,Senegal,GK,Abdoulaye Diallo,3/30/92
Age,Senegal,GK,Alfred Gomis,5/31/84
Age,Senegal,GK,Khadim N'Diaye,4/5/85
Age,Senegal,MF,Alfred N'Diaye,3/6/90
Age,Senegal,MF,Badou Ndiaye,10/27/90
Age,Senegal,MF,Cheikh N'Doye,3/29/86
Age,Senegal,MF,Cheikhou Kouyat_ (captain),12/21/89
Age,Senegal,MF,Idrissa Gueye,9/26/89
Caps,Egypt,DF,Ahmed Elmohamady,9/9/87
Caps,Egypt,DF,Ahmed Fathy,11/10/84
Caps,Egypt,DF,Ahmed Hegazi,1/25/91
Caps,Egypt,DF,Ali Gabr,7/28/93
Caps,Egypt,DF,Ayman Ashraf,4/9/91
Caps,Egypt,DF,Mahmoud Hamdy,6/1/95
Caps,Egypt,DF,Mohamed Abdel-Shafy,7/1/85
Caps,Egypt,DF,Omar Gaber,1/30/92
Caps,Egypt,DF,Saad Samir,4/1/89
Caps,Egypt,FW,Marwan Mohsen,2/26/89
Caps,Egypt,FW,Mohamed Salah,6/15/92
Caps,Egypt,GK,Essam El-Hadary (captain),1/15/73
Caps,Egypt,GK,Mohamed El-Shenawy,12/18/88
Caps,Egypt,GK,Sherif Ekramy,7/1/83
Caps,Egypt,MF,Abdallah Said,7/13/85
Caps,Egypt,MF,Amr Warda,9/13/93
Caps,Egypt,MF,Kahraba,4/13/94
Caps,Egypt,MF,Mohamed Elneny,7/11/92
Caps,Egypt,MF,Ramadan Sobhi,1/23/97
Caps,Egypt,MF,Sam Morsy,9/10/91
Caps,Egypt,MF,Shikabala,3/5/86
Caps,Egypt,MF,Tarek Hamed,10/24/88
Caps,Egypt,MF,Tr_z_guet,10/1/94
Caps,Russia,DF,Andrei Semyonov,3/24/89
Caps,Russia,DF,Fyodor Kudryashov,4/5/87
Caps,Russia,DF,Igor Smolnikov,8/8/88
Caps,Russia,DF,Ilya Kutepov,7/29/93
Caps,Russia,DF,M‡rio Fernandes,9/19/90
Caps,Russia,DF,Sergei Ignashevich,7/14/79
Caps,Russia,DF,Vladimir Granat,5/22/87
Caps,Russia,FW,Aleksei Miranchuk,10/17/95
Caps,Russia,FW,Artem Dzyuba,8/22/88
Caps,Russia,FW,Fyodor Smolov,2/5/90
Caps,Russia,GK,Andrey Lunyov,11/13/91
Caps,Russia,GK,Igor Akinfeev (captain),4/8/86
Caps,Russia,GK,Vladimir Gabulov,10/19/83
Caps,Russia,MF,Alan Dzagoev,6/17/90
Caps,Russia,MF,Aleksandr Golovin,5/30/96
Caps,Russia,MF,Aleksandr Samedov,7/19/84
Caps,Russia,MF,Aleksandr Yerokhin,10/13/89
Caps,Russia,MF,Anton Miranchuk,10/17/95
Caps,Russia,MF,Daler Kuzyayev,1/15/93
Caps,Russia,MF,Denis Cheryshev,12/26/90
Caps,Russia,MF,Roman Zobnin,2/11/94
Caps,Russia,MF,Yuri Zhirkov,8/20/83
Caps,Russia,MF,Yury Gazinsky,7/20/89
Caps,Saudi Arabia,DF,Ali Al Bulaihi,11/21/89
Caps,Saudi Arabia,DF,Mansoor Al-Harbi,10/19/87
Caps,Saudi Arabia,DF,Mohammed Al-Breik,9/15/92
Caps,Saudi Arabia,DF,Motaz Hawsawi,2/17/92
Caps,Saudi Arabia,DF,Omar Hawsawi,9/27/85
Caps,Saudi Arabia,DF,Osama Hawsawi (captain),3/31/84
Caps,Saudi Arabia,DF,Yasser Al-Shahrani,5/25/92
Caps,Saudi Arabia,FW,Fahad Al-Muwallad,9/14/94
Caps,Saudi Arabia,FW,Mohammad Al-Sahlawi,1/10/87
Caps,Saudi Arabia,FW,Muhannad Assiri,10/14/86
Caps,Saudi Arabia,GK,Abdullah Al-Mayouf,1/23/87
Caps,Saudi Arabia,GK,Mohammed Al-Owais,10/10/91
Caps,Saudi Arabia,GK,Yasser Al Mosailem,2/27/84
Caps,Saudi Arabia,MF,Abdullah Al-Khaibari,8/16/96
Caps,Saudi Arabia,MF,Abdullah Otayf,8/3/92
Caps,Saudi Arabia,MF,Abdulmalek Al-Khaibri,3/13/86
Caps,Saudi Arabia,MF,Hattan Bahebri,7/16/92
Caps,Saudi Arabia,MF,Housain Al-Mogahwi,1/28/88
Caps,Saudi Arabia,MF,Mohamed Kanno,9/22/94
Caps,Saudi Arabia,MF,Salem Al-Dawsari,8/19/91
Caps,Saudi Arabia,MF,Salman Al-Faraj,8/1/89
Caps,Saudi Arabia,MF,Taisir Al-Jassim,7/25/84
Caps,Saudi Arabia,MF,Yahya Al-Shehri,6/26/90
Caps,Uruguay,DF,Diego God’n (captain),2/16/86
Caps,Uruguay,DF,Gast—n Silva,3/5/94
Caps,Uruguay,DF,Guillermo Varela,3/24/93
Caps,Uruguay,DF,Jos_ Gim_nez,1/20/95
Caps,Uruguay,DF,Mart’n C‡ceres,4/7/87
Caps,Uruguay,DF,Maxi Pereira,6/8/84
Caps,Uruguay,DF,Sebasti‡n Coates,10/7/90
Caps,Uruguay,FW,Cristhian Stuani,12/10/86
Caps,Uruguay,FW,Edinson Cavani,2/14/87
Caps,Uruguay,FW,Luis Su‡rez,1/24/87
Caps,Uruguay,FW,Maxi G—mez,8/14/96
Caps,Uruguay,GK,Fernando Muslera,6/16/86
Caps,Uruguay,GK,Mart’n Campa–a,5/29/89
Caps,Uruguay,GK,Mart’n Silva,3/23/83
Caps,Uruguay,MF,Carlos S‡nchez,12/2/84
Caps,Uruguay,MF,Cristian Rodr’guez,9/30/85
Caps,Uruguay,MF,Diego Laxalt,2/7/93
Caps,Uruguay,MF,Giorgian De Arrascaeta,5/1/94
Caps,Uruguay,MF,Jonathan Urretaviscaya,3/19/90
Caps,Uruguay,MF,Lucas Torreira,2/11/96
Caps,Uruguay,MF,Mat’as Vecino,8/24/91
Caps,Uruguay,MF,Nahitan N‡ndez,12/28/95
Caps,Uruguay,MF,Rodrigo Bentancur,6/5/97
Caps,Iran,DF,Majid Hosseini,6/20/96
Caps,Iran,DF,Milad Mohammadi,9/29/93
Caps,Iran,DF,Mohammad Reza Khanzadeh,5/11/91
Caps,Iran,DF,Morteza Pouraliganji,4/19/92
Caps,Iran,DF,Pejman Montazeri,9/6/83
Caps,Iran,DF,Ramin Rezaeian,3/21/90
Caps,Iran,DF,Rouzbeh Cheshmi,7/24/93
Caps,Iran,FW,Alireza Jahanbakhsh,8/11/93
Caps,Iran,FW,Karim Ansarifard,4/3/90
Caps,Iran,FW,Mehdi Taremi,7/18/92
Caps,Iran,FW,Reza Ghoochannejhad,9/20/87
Caps,Iran,FW,Sardar Azmoun,1/1/95
Caps,Iran,GK,Alireza Beiranvand,9/21/92
Caps,Iran,GK,Amir Abedzadeh,4/26/93
Caps,Iran,GK,Mohammad Rashid Mazaheri,5/18/89
Caps,Iran,MF,Ashkan Dejagah,6/5/86
Caps,Iran,MF,Ehsan Hajsafi,2/25/90
Caps,Iran,MF,Masoud Shojaei (captain),6/9/84
Caps,Iran,MF,Mehdi Torabi,9/10/94
Caps,Iran,MF,Omid Ebrahimi,9/16/87
Caps,Iran,MF,Saeid Ezatolahi,10/1/96
Caps,Iran,MF,Saman Ghoddos,9/6/93
Caps,Iran,MF,Vahid Amiri,4/2/88
Caps,Morocco,DF,Achraf Hakimi,11/4/98
Caps,Morocco,DF,Hamza Mendyl,10/21/97
Caps,Morocco,DF,Manuel da Costa,5/6/86
Caps,Morocco,DF,Medhi Benatia (captain),4/17/87
Caps,Morocco,DF,Nabil Dirar,2/25/86
Caps,Morocco,DF,Romain Sa•ss,3/26/90
Caps,Morocco,FW,Ayoub El Kaabi,6/26/93
Caps,Morocco,FW,Aziz Bouhaddouz,1/29/87
Caps,Morocco,FW,Khalid Bouta•b,4/24/87
Caps,Morocco,FW,Youssef En-Nesyri,6/1/97
Caps,Morocco,GK,Ahmed Reda Tagnaouti,4/5/96
Caps,Morocco,GK,Munir Mohamedi,5/10/89
Caps,Morocco,GK,Yassine Bounou,4/5/91
Caps,Morocco,MF,Amine Harit,6/18/97
Caps,Morocco,MF,Fayçal Fajr,8/1/88
Caps,Morocco,MF,Hakim Ziyech,3/19/93
Caps,Morocco,MF,Karim El Ahmadi,1/27/85
Caps,Morocco,MF,Mbark Boussoufa,8/15/84
Caps,Morocco,MF,Mehdi Carcela,7/1/89
Caps,Morocco,MF,Nordin Amrabat,3/31/87
Caps,Morocco,MF,Sofyan Amrabat,8/21/96
Caps,Morocco,MF,Younès Belhanda,2/25/90
Caps,Morocco,MF,Youssef A•t Bennasser,7/7/96
Caps,Portugal,DF,Bruno Alves,11/27/81
Caps,Portugal,DF,C_dric,8/31/91
Caps,Portugal,DF,Jos_ Fonte,12/22/83
Caps,Portugal,DF,M‡rio Rui,5/27/91
Caps,Portugal,DF,Pepe,2/26/83
Caps,Portugal,DF,Rapha‘l Guerreiro,12/22/93
Caps,Portugal,DF,Ricardo Pereira,10/6/93
Caps,Portugal,DF,Rœben Dias,5/14/97
Caps,Portugal,FW,Andr_ Silva,11/6/95
Caps,Portugal,FW,Cristiano Ronaldo (captain),2/5/85
Caps,Portugal,FW,Gelson Martins,5/11/95
Caps,Portugal,FW,Gonçalo Guedes,11/29/96
Caps,Portugal,FW,Ricardo Quaresma,9/26/83
Caps,Portugal,GK,Anthony Lopes,10/1/90
Caps,Portugal,GK,Beto,6/1/82
Caps,Portugal,GK,Rui Patr’cio,2/15/88
Caps,Portugal,MF,Adrien Silva,3/15/89
Caps,Portugal,MF,Bernardo Silva,8/10/94
Caps,Portugal,MF,Bruno Fernandes,9/8/94
Caps,Portugal,MF,Jo‹o M‡rio,1/19/93
Caps,Portugal,MF,Jo‹o Moutinho,9/8/86
Caps,Portugal,MF,Manuel Fernandes,2/5/86
Caps,Portugal,MF,William Carvalho,4/7/92
Caps,Spain,DF,çlvaro Odriozola,12/14/95
Caps,Spain,DF,C_sar Azpilicueta,8/28/89
Caps,Spain,DF,Dani Carvajal,1/11/92
Caps,Spain,DF,Gerard Piqu_,2/2/87
Caps,Spain,DF,Jordi Alba,3/21/89
Caps,Spain,DF,Nacho,1/18/90
Caps,Spain,DF,Nacho Monreal,2/26/86
Caps,Spain,DF,Sergio Ramos (captain),3/30/86
Caps,Spain,FW,Diego Costa,10/7/88
Caps,Spain,FW,Iago Aspas,8/1/87
Caps,Spain,FW,Lucas V‡zquez,7/1/91
Caps,Spain,FW,Marco Asensio,1/21/96
Caps,Spain,FW,Rodrigo,3/6/91
Caps,Spain,GK,David de Gea,11/7/90
Caps,Spain,GK,Kepa Arrizabalaga,10/3/94
Caps,Spain,GK,Pepe Reina,8/31/82
Caps,Spain,MF,Andr_s Iniesta,5/11/84
Caps,Spain,MF,David Silva,1/8/86
Caps,Spain,MF,Isco,4/21/92
Caps,Spain,MF,Koke,1/8/92
Caps,Spain,MF,Saœl,11/21/94
Caps,Spain,MF,Sergio Busquets,7/16/88
Caps,Spain,MF,Thiago,4/11/91
Caps,Australia,DF,Aziz Behich,10/16/90
Caps,Australia,DF,James Meredith,4/4/88
Caps,Australia,DF,Josh Risdon,7/27/92
Caps,Australia,DF,Matthew Jurman,12/8/89
Caps,Australia,DF,Milos Degenek,4/28/94
Caps,Australia,DF,Trent Sainsbury,1/5/92
Caps,Australia,FW,Andrew Nabbout,12/17/92
Caps,Australia,FW,Jamie Maclaren,7/29/93
Caps,Australia,FW,Mathew Leckie,2/4/91
Caps,Australia,FW,Robbie Kruse,10/5/88
Caps,Australia,FW,Tim Cahill,12/6/79
Caps,Australia,FW,Tomi Juric,7/22/91
Caps,Australia,GK,Brad Jones,3/19/82
Caps,Australia,GK,Danny Vukovic,3/27/85
Caps,Australia,GK,Mathew Ryan,4/8/92
Caps,Australia,MF,Aaron Mooy,9/15/90
Caps,Australia,MF,Daniel Arzani,1/4/99
Caps,Australia,MF,Dimitri Petratos,11/10/92
Caps,Australia,MF,Jackson Irvine,3/7/93
Caps,Australia,MF,Mark Milligan,8/4/85
Caps,Australia,MF,Massimo Luongo,9/25/92
Caps,Australia,MF,Mile Jedinak (captain),8/3/84
Caps,Australia,MF,Tom Rogic,12/16/92
Caps,Denmark,DF,Andreas Christensen,4/10/96
Caps,Denmark,DF,Henrik Dalsgaard,7/27/89
Caps,Denmark,DF,Jannik Vestergaard,8/3/92
Caps,Denmark,DF,Jens Stryger Larsen,2/21/91
Caps,Denmark,DF,Jonas Knudsen,9/16/92
Caps,Denmark,DF,Mathias J¿rgensen,4/23/90
Caps,Denmark,DF,Simon Kj_r (captain),3/26/89
Caps,Denmark,FW,Andreas Cornelius,3/16/93
Caps,Denmark,FW,Kasper Dolberg,10/6/97
Caps,Denmark,FW,Martin Braithwaite,6/5/91
Caps,Denmark,FW,Nicolai J¿rgensen,1/15/91
Caps,Denmark,FW,Viktor Fischer,6/9/94
Caps,Denmark,FW,Yussuf Poulsen,6/15/94
Caps,Denmark,GK,Frederik R¿nnow,8/4/92
Caps,Denmark,GK,Jonas L_ssl,2/1/89
Caps,Denmark,GK,Kasper Schmeichel,11/5/86
Caps,Denmark,MF,Christian Eriksen,2/14/92
Caps,Denmark,MF,Lasse Sch_ne,5/27/86
Caps,Denmark,MF,Lukas Lerager,7/12/93
Caps,Denmark,MF,Michael Krohn-Dehli,6/6/83
Caps,Denmark,MF,Pione Sisto,2/4/95
Caps,Denmark,MF,Thomas Delaney,9/3/91
Caps,Denmark,MF,William Kvist,2/24/85
Caps,France,DF,Adil Rami,12/27/85
Caps,France,DF,Benjamin Mendy,7/17/94
Caps,France,DF,Benjamin Pavard,3/28/96
Caps,France,DF,Djibril Sidib_,7/29/92
Caps,France,DF,Lucas Hern‡ndez,2/14/96
Caps,France,DF,Presnel Kimpembe,8/13/95
Caps,France,DF,Rapha‘l Varane,4/25/93
Caps,France,DF,Samuel Umtiti,11/14/93
Caps,France,FW,Antoine Griezmann,3/21/91
Caps,France,FW,Florian Thauvin,1/26/93
Caps,France,FW,Kylian Mbapp_,12/20/98
Caps,France,FW,Nabil Fekir,7/18/93
Caps,France,FW,Olivier Giroud,9/30/86
Caps,France,FW,Ousmane Demb_l_,5/15/97
Caps,France,GK,Alphonse Areola,2/27/93
Caps,France,GK,Hugo Lloris (captain),12/26/86
Caps,France,GK,Steve Mandanda,3/28/85
Caps,France,MF,Blaise Matuidi,4/9/87
Caps,France,MF,Corentin Tolisso,8/3/94
Caps,France,MF,N'Golo Kant_,3/29/91
Caps,France,MF,Paul Pogba,3/15/93
Caps,France,MF,Steven Nzonzi,12/15/88
Caps,France,MF,Thomas Lemar,11/12/95
Caps,Peru,DF,Alberto Rodr’guez,5/31/84
Caps,Peru,DF,Aldo Corzo,5/20/89
Caps,Peru,DF,Anderson Santamar’a,1/10/92
Caps,Peru,DF,Christian Ramos,11/4/88
Caps,Peru,DF,Luis Adv’ncula,3/2/90
Caps,Peru,DF,Miguel Araujo,10/24/94
Caps,Peru,DF,Miguel Trauco,8/25/92
Caps,Peru,DF,Nilson Loyola,10/26/94
Caps,Peru,FW,Andr_ Carrillo,6/14/91
Caps,Peru,FW,Andy Polo,9/29/94
Caps,Peru,FW,Jefferson Farf‡n,10/26/84
Caps,Peru,FW,Paolo Guerrero (captain),1/1/84
Caps,Peru,FW,Paolo Hurtado,7/27/90
Caps,Peru,FW,Raœl Ruid’az,7/25/90
Caps,Peru,GK,Carlos C‡ceda,9/27/91
Caps,Peru,GK,Jos_ Carvallo,3/1/86
Caps,Peru,GK,Pedro Gallese,4/23/90
Caps,Peru,MF,Christian Cueva,11/23/91
Caps,Peru,MF,Edison Flores,5/14/94
Caps,Peru,MF,Pedro Aquino,4/13/95
Caps,Peru,MF,Renato Tapia,7/28/95
Caps,Peru,MF,Wilder Cartagena,9/23/94
Caps,Peru,MF,Yoshimar Yotœn,4/7/90
Caps,Argentina,DF,Cristian Ansaldi,9/20/86
Caps,Argentina,DF,Eduardo Salvio,7/13/90
Caps,Argentina,DF,Federico Fazio,1/30/87
Caps,Argentina,DF,Gabriel Mercado,3/18/87
Caps,Argentina,DF,Javier Mascherano,6/8/84
Caps,Argentina,DF,Marcos Acu–a,10/28/91
Caps,Argentina,DF,Marcos Rojo,11/28/90
Caps,Argentina,DF,Nicol‡s Otamendi,7/5/88
Caps,Argentina,DF,Nicol‡s Tagliafico,8/31/92
Caps,Argentina,FW,Gonzalo Higua’n,12/10/87
Caps,Argentina,FW,Lionel Messi (captain),6/24/87
Caps,Argentina,FW,Paulo Dybala,11/15/93
Caps,Argentina,FW,Sergio AgŸero,6/2/88
Caps,Argentina,GK,Franco Armani,10/16/86
Caps,Argentina,GK,Nahuel Guzm‡n,2/10/86
Caps,Argentina,GK,Willy Caballero,9/28/81
Caps,Argentina,MF,çngel Di Mar’a,5/21/88
Caps,Argentina,MF,Cristian Pav—n,1/21/96
Caps,Argentina,MF,ƒver Banega,6/29/88
Caps,Argentina,MF,Giovani Lo Celso,4/9/96
Caps,Argentina,MF,Lucas Biglia,1/30/86
Caps,Argentina,MF,Manuel Lanzini,2/13/93
Caps,Argentina,MF,Maximiliano Meza,1/15/92
Caps,Croatia,DF,Dejan Lovren,7/5/89
Caps,Croatia,DF,Domagoj Vida,4/29/89
Caps,Croatia,DF,Duje _aleta-Car,9/17/96
Caps,Croatia,DF,Ivan Strini_,7/17/87
Caps,Croatia,DF,Josip Pivari_,1/30/89
Caps,Croatia,DF,_ime Vrsaljko,1/10/92
Caps,Croatia,DF,Tin Jedvaj,11/28/95
Caps,Croatia,DF,Vedran _orluka,2/5/86
Caps,Croatia,FW,Andrej Kramari_,6/19/91
Caps,Croatia,FW,Ante Rebi_,9/21/93
Caps,Croatia,FW,Ivan Peri_i_,2/2/89
Caps,Croatia,FW,Mario Mand_uki_,5/21/86
Caps,Croatia,FW,Marko Pjaca,5/6/95
Caps,Croatia,FW,Nikola Kalini_,1/5/88
Caps,Croatia,GK,Danijel Suba_i_,10/27/84
Caps,Croatia,GK,Dominik Livakovi_,1/9/95
Caps,Croatia,GK,Lovre Kalini_,4/3/90
Caps,Croatia,MF,Filip Bradari_,1/11/92
Caps,Croatia,MF,Ivan Rakiti_,3/10/88
Caps,Croatia,MF,Luka Modri_ (captain),9/9/85
Caps,Croatia,MF,Marcelo Brozovi_,11/16/92
Caps,Croatia,MF,Mateo Kova_i_,5/6/94
Caps,Croatia,MF,Milan Badelj,2/25/89
Caps,Iceland,DF,Ari Freyr Skœlason,5/14/87
Caps,Iceland,DF,Birkir M‡r S_varsson,11/11/84
Caps,Iceland,DF,H—lmar …rn Eyj—lfsson,8/6/90
Caps,Iceland,DF,H_r_ur Bj_rgvin Magnœsson,2/11/93
Caps,Iceland,DF,K‡ri çrnason,10/13/82
Caps,Iceland,DF,Ragnar Sigur_sson,6/19/86
Caps,Iceland,DF,Samœel Fri_j—nsson,2/22/96
Caps,Iceland,DF,Sverrir Ingi Ingason,8/5/93
Caps,Iceland,FW,Albert Gu_mundsson,6/15/97
Caps,Iceland,FW,Alfre_ Finnbogason,2/1/89
Caps,Iceland,FW,Bj_rn Bergmann Sigur_arson,2/26/91
Caps,Iceland,FW,J—n Da_i B__varsson,5/25/92
Caps,Iceland,GK,Frederik Schram,1/19/95
Caps,Iceland,GK,Hannes _—r Halld—rsson,4/27/84
Caps,Iceland,GK,Rœnar Alex Rœnarsson,2/18/95
Caps,Iceland,MF,Arn—r Ingvi Traustason,4/30/93
Caps,Iceland,MF,Aron Gunnarsson (captain),4/22/89
Caps,Iceland,MF,Birkir Bjarnason,5/27/88
Caps,Iceland,MF,Emil Hallfre_sson,6/29/84
Caps,Iceland,MF,Gylfi Sigur_sson,9/8/89
Caps,Iceland,MF,J—hann Berg Gu_mundsson,10/27/90
Caps,Iceland,MF,îlafur Ingi Skœlason,4/1/83
Caps,Iceland,MF,Rœrik G’slason,2/25/88
Caps,Nigeria,DF,Brian Idowu,5/18/92
Caps,Nigeria,DF,Chidozie Awaziem,1/1/97
